name,discord_username,github_id,discourse_id,sourcecred_id,address,discord_id,totalGrainPaid,totalCred
paul2-discourse,,,,X9lkE0vRSKS4mGpRXekVCw,,,,10.476416768248129
paulhaas,,,,8bj1rKSEptmgXckSM51SYQ,,,,2.5997075442473414
paulhaas-discourse,,,,UxLBWVq0zpcvoasM55JF7g,,,,2.6364240480942027
paulo-,paulo_#7945,,paulo,ayg2FKe6lH9vsj14xojEhQ,,460149781562523650,61.064259886947646,34.78681241929468
phacker3,,phacker3,,3IDBgPo2roxNRb5Uk2So4A,,,0.0,0.5932158411752745
philh,PhilH#1102,PhilH,philh,zmUdcnv3pkxwqEArWRXNTg,0xAa01DeC5307CF17F20881A3286dcaA062578cea7,165910079416041473,20.64906778090629,18.682124419661683
pinkhoodie,,,,zU6lYOAyxPPs0SLzaUbUNg,,,,3.4577598982737774
pkretzschmar,,,,G9DoSXONnl6tL2GB5nC9gw,,,,687.7031520018338
pmespresso,,,,rX3hvE2NFLHy7g6Ry3P0SA,,,,161.59520059294258
porobov-p,,,porobov_p,ztp33KrVGTLPdAPxKkpdkQ,,,0.0,11.297239971158232
prohg,,,,Hjug8BLBoAGDZFEpGggJxQ,,,,1.362623611837182
randomshinichi-discourse,,,,tNNJbIaVZI6QAtk3J6OM4g,,,,5.116761892172221
regencrypto,,,,PIDOzU6vkaDlmfK5ORGcWg,,,,7.00719203252095
